Name,Location,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
Maruti Celerio LDi,Hyderabad,2016,80219,27.62,793.0,47.0,5.0,5.87,3.5,False,False,True,False,False,False
Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,25.1,1248.0,88.5,5.0,11.26,8.92,False,False,True,False,False,False
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,15.17,1968.0,181.0,5.0,43.65,20.37,False,False,False,False,False,False
BMW 3 Series Luxury Line,Bangalore,2016,19235,21.76,1995.0,190.0,5.0,62.07,36.5,False,False,False,False,False,False
Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2016,51002,11.33,4134.0,335.2,7.0,101.96,48.91,False,False,False,False,False,False
Hyundai i20 2015-2017 Asta 1.2,Pune,2016,6800,18.6,1197.0,81.83,5.0,10.25,7.2,False,True,True,False,False,False
Renault Duster 110PS Diesel RxL,Hyderabad,2012,82749,19.01,1461.0,108.45,5.0,15.05,5.99,False,False,True,False,False,False
Hyundai Xcent 1.1 CRDi S Celebration Edition,Pune,2016,51000,24.4,1120.0,71.0,5.0,8.23,5.25,False,False,True,False,False,False
Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,31465,22.7,1498.0,89.84,5.0,11.685,6.5,False,False,True,False,False,False
Volkswagen Polo Petrol Trendline 1.2L,Hyderabad,2013,76476,16.47,1198.0,73.9,5.0,10.15,4.4,False,True,True,False,False,False
Hyundai Grand i10 CRDi Magna,Kolkata,2017,14000,24.0,1120.0,70.0,5.0,7.45,4.6,False,False,True,False,False,False
Tata Manza Aqua Quadrajet BS IV,Ahmedabad,2013,47000,21.12,1248.0,88.8,5.0,7.63,2.95,False,False,True,False,False,False
Honda City 1.5 V MT,Kolkata,2011,48466,17.0,1497.0,118.0,5.0,13.58,3.26,False,True,True,False,False,False
Hyundai Santro Xing GLS,Bangalore,2008,46000,17.92,1086.0,62.1,5.0,4.55,2.22,False,True,True,False,True,False
Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2012,162663,12.99,2494.0,100.0,7.0,24.01,10.5,False,False,True,False,False,False
Maruti Ciaz 1.3 S,Coimbatore,2017,25142,28.09,1248.0,88.5,5.0,11.11,8.26,False,False,True,False,False,False
Toyota Fortuner 4x4 MT TRD Sportivo,Delhi,2013,69000,12.55,2982.0,169.0,7.0,37.17,14.45,False,False,True,False,False,False
Ford Fiesta 1.6 SXI ABS Duratec,Chennai,2009,80524,15.3,1596.0,98.6,5.0,11.685,2.5,False,True,True,False,True,False
Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,12.6,1950.0,191.34,5.0,86.97,51.43,False,True,False,False,False,False
Mercedes-Benz New C-Class 220 CDI MT,Chennai,2014,45000,15.8,2148.0,170.0,5.0,49.49,23.0,False,False,True,False,False,False
Skoda Yeti Ambition 4X2,Kolkata,2012,64284,17.72,1968.0,108.49,5.0,25.83,5.5,False,False,True,False,False,False
Hyundai Grand i10 Sportz,Delhi,2015,27000,18.9,1197.0,82.0,5.0,7.45,4.5,False,True,True,False,False,False
Ford Figo 2015-2019 1.2P Titanium MT,Hyderabad,2018,3678,18.16,1196.0,86.8,5.0,7.65,6.8,False,True,True,False,False,False
Skoda Octavia Ambition 1.4 TSI MT,Mumbai,2013,21000,16.8,1395.0,138.02,5.0,25.83,8.75,False,True,True,False,False,False
Renault Duster 85PS Diesel RxL Option,Mumbai,2015,67000,19.87,1461.0,83.8,5.0,15.05,7.0,False,False,True,False,True,False
Land Rover Range Rover Evoque 2.0 TD4 Pure,Delhi,2015,24000,15.68,1999.0,177.0,5.0,120.0,33.5,False,False,False,False,True,False
Ford Figo Diesel EXI,Chennai,2011,75000,20.0,1399.0,68.0,5.0,7.65,2.25,False,False,True,False,True,False
Ford Endeavour Hurricane Limited Edition,Hyderabad,2008,179000,12.8,2953.0,156.0,7.0,35.29,4.24,False,False,False,False,True,False
Toyota Fortuner 4x4 MT,Coimbatore,2017,47198,12.55,2982.0,168.5,7.0,37.17,28.42,False,False,True,False,False,False
Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,52000,22.07,1199.0,73.9,5.0,10.15,2.75,False,False,True,False,False,False
Maruti Ritz VDi,Jaipur,2011,91000,23.2,1248.0,73.94,5.0,7.88,3.0,False,False,True,False,False,False
Nissan Micra Diesel XV Premium,Pune,2013,60000,23.08,1461.0,63.1,5.0,9.47,3.55,False,False,True,False,False,False
Hyundai Verna 1.6 SX,Kolkata,2013,37873,22.32,1582.0,126.32,5.0,14.255,4.8,False,False,True,False,False,False
BMW 5 Series 2003-2012 523i,Kolkata,2011,31000,10.8,2497.0,150.0,5.0,67.87,13.5,False,True,False,False,False,False
Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,11.0,2987.0,258.0,7.0,100.0,56.0,False,False,False,False,False,False
Honda CR-V 2.4L 4WD AT,Hyderabad,2004,78000,12.0,2354.0,187.4,5.0,33.51,3.99,False,True,False,False,False,False
Hyundai Creta 1.6 CRDi AT SX Plus,Bangalore,2016,32000,17.01,1582.0,126.2,5.0,16.06,15.5,False,False,False,False,False,False
Hyundai i10 Era,Jaipur,2010,59000,19.81,1086.0,68.05,5.0,10.25,2.32,False,True,True,False,True,False
Mercedes-Benz A Class A200 CDI Sport,Kochi,2016,35437,20.0,2143.0,136.0,5.0,34.63,18.58,False,False,False,False,False,False
Maruti Ertiga VXI,Jaipur,2014,98000,16.02,1373.0,93.7,7.0,11.27,5.5,False,True,True,False,False,False
Skoda Octavia Classic 1.9 TDI MT,Chennai,2006,72000,18.7,1896.0,66.0,5.0,25.83,3.2,False,False,True,False,True,False
Honda Amaze VX i-Vtech,Pune,2015,79000,18.0,1198.0,86.7,5.0,8.54,4.0,False,True,True,False,False,False
Maruti Zen LXi BSII,Chennai,2004,29000,17.3,993.0,60.0,5.0,7.88,1.6,False,True,True,False,False,False
Maruti SX4 ZXI MT BSIV,Kochi,2013,66012,15.5,1586.0,103.3,5.0,7.88,4.15,False,True,True,False,False,False
Honda Brio VX AT,Mumbai,2014,35000,16.5,1198.0,86.8,5.0,6.62,4.25,False,True,False,False,False,False
Maruti Wagon R VXI,Ahmedabad,2011,75000,18.9,998.0,67.1,5.0,5.51,2.6,False,True,True,False,False,False
Toyota Camry A/T,Mumbai,2008,80000,12.1,2362.0,164.7,5.0,40.62,3.43,False,True,False,False,True,False
Chevrolet Beat LS,Kochi,2012,32717,18.6,1199.0,79.4,5.0,11.3,2.55,False,True,True,False,False,False
Toyota Fortuner 4x4 AT,Delhi,2017,25000,12.55,2982.0,168.5,7.0,37.17,32.0,False,False,False,False,False,False
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,22.7,1498.0,89.84,5.0,11.685,6.25,False,False,True,False,False,False
Maruti Swift Vdi BSIII,Hyderabad,2010,86000,17.8,1248.0,75.0,5.0,7.88,3.6,False,False,True,False,True,False
Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,2010,137000,13.5,2987.0,282.0,5.0,49.49,18.5,False,False,False,False,False,False
Honda Mobilio S i VTEC,Mumbai,2015,25000,17.3,1497.0,117.3,7.0,13.58,4.25,False,True,True,False,True,False
Hyundai Grand i10 Sportz,Mumbai,2017,8500,18.9,1197.0,82.0,5.0,7.45,4.8,False,True,True,False,True,False
Mahindra XUV500 AT W8 FWD,Bangalore,2015,34000,16.0,2179.0,140.0,7.0,18.865,13.0,False,False,False,False,False,False
Skoda Fabia 1.6 MPI Elegance,Pune,2012,41629,14.83,1598.0,105.0,5.0,25.83,2.25,False,True,True,False,True,False
Hyundai Santro Xing GLS,Hyderabad,2009,80227,17.92,1086.0,62.1,5.0,4.55,2.3,False,True,True,False,False,False
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,8587,15.29,1591.0,121.3,5.0,16.06,13.56,False,True,True,False,False,False
Mahindra Scorpio 1.99 S8,Delhi,2017,30000,15.4,1997.0,120.0,7.0,18.865,12.25,False,False,True,False,False,False
Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,20.5,1598.0,103.5,5.0,14.22,3.76,False,False,True,False,False,False
Renault Duster 110PS Diesel RxZ,Coimbatore,2015,76427,19.01,1461.0,108.45,5.0,15.05,8.58,False,False,True,False,False,False
BMW X5 xDrive 30d,Hyderabad,2011,75000,11.7,2993.0,245.0,5.0,55.07,27.5,False,False,False,False,False,False
Toyota Etios G,Coimbatore,2013,27075,17.6,1496.0,88.73,5.0,8.525,4.95,False,True,True,False,False,False
Maruti Wagon R LXI,Ahmedabad,2012,30000,22.5,998.0,67.04,5.0,4.74,3.3,False,True,True,False,False,False
Hyundai Creta 1.6 SX,Chennai,2016,69434,15.8,1591.0,121.3,5.0,14.84,8.0,False,True,True,False,False,False
Maruti Celerio VXI,Jaipur,2014,56000,23.1,998.0,67.04,5.0,5.87,2.79,False,True,True,False,False,False
Land Rover Range Rover HSE Dynamic,Coimbatore,2017,49275,12.7,2179.0,187.7,5.0,120.0,45.64,False,False,False,False,False,False
Chevrolet Beat LT,Pune,2014,8700,18.6,1199.0,76.8,5.0,11.3,2.55,False,True,True,False,False,False
Tata Nano Twist XT,Ahmedabad,2014,18000,25.4,624.0,37.5,4.0,7.63,1.0,False,True,True,False,True,False
Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,41041,17.68,1968.0,174.33,5.0,67.1,37.56,False,False,False,False,False,False
Mercedes-Benz E-Class 280 CDI,Kochi,2009,80464,11.0,2987.0,198.5,5.0,86.97,9.29,False,False,False,False,True,False
Maruti Swift VXI,Kochi,2019,20667,22.0,1197.0,81.8,5.0,7.88,6.37,False,True,True,False,False,False
Fiat Linea T Jet,Coimbatore,2013,60283,14.6,1368.0,112.0,5.0,9.075,2.98,False,True,True,False,False,False
Maruti Swift VXI Optional,Kochi,2017,31696,20.4,1197.0,81.8,5.0,7.88,5.75,False,True,True,False,False,False
Toyota Fortuner 3.0 Diesel,Hyderabad,2010,100000,11.5,2982.0,171.0,7.0,37.17,13.0,False,False,True,False,False,False
Maruti Ertiga ZXI,Mumbai,2014,13361,16.02,1373.0,93.7,7.0,11.27,6.8,False,True,True,False,False,False
BMW 3 Series 320i Sedan,Coimbatore,2010,48394,12.05,1995.0,154.0,5.0,54.43,10.49,False,True,False,False,False,False
Maruti Ertiga VXI,Jaipur,2014,47399,16.02,1373.0,93.7,7.0,11.27,5.6,False,True,True,False,False,False
Honda City 1.5 V AT,Mumbai,2010,69000,16.8,1497.0,118.0,5.0,13.58,2.85,False,True,False,False,True,False
Hyundai Santa Fe 4X4,Coimbatore,2013,65278,14.66,2199.0,194.3,7.0,10.25,8.36,False,False,True,False,False,False
Tata Indigo LS,Jaipur,2005,108000,17.0,1405.0,70.0,5.0,7.63,1.0,False,False,True,False,False,False
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Kolkata,2010,50645,10.93,2497.0,204.0,5.0,86.97,10.75,False,True,False,False,True,False
Maruti Swift Dzire LDi,Hyderabad,2011,130002,19.3,1248.0,73.9,5.0,7.88,3.85,False,False,True,False,False,False
Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,2012,107000,17.8,1399.0,67.0,5.0,11.685,3.0,False,False,True,False,False,False
Honda City i VTEC CVT VX,Coimbatore,2015,41950,18.0,1497.0,117.3,5.0,13.58,9.6,False,True,False,False,False,False
Toyota Fortuner 4x2 Manual,Delhi,2012,109000,13.0,2982.0,168.5,7.0,37.17,13.25,False,False,True,False,False,False
Honda Amaze VX O i VTEC,Mumbai,2016,9000,18.0,1198.0,86.7,5.0,8.54,5.75,False,True,True,False,False,False
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,22.54,1396.0,88.73,5.0,10.25,6.75,False,False,True,False,False,False
Chevrolet Enjoy TCDi LTZ 7 Seater,Bangalore,2013,64000,18.2,1248.0,73.8,7.0,11.3,4.85,False,False,True,False,True,False
Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,0.0,1950.0,181.43,5.0,49.49,38.99,False,True,False,False,False,False
Maruti SX4 ZXI AT Leather,Mumbai,2009,77652,12.6,1586.0,103.2,5.0,7.88,2.85,False,True,False,False,False,False
Toyota Innova 2.5 VX (Diesel) 7 Seater,Mumbai,2012,55000,12.99,2494.0,100.0,7.0,24.01,9.51,False,False,True,False,False,False
BMW 5 Series 2003-2012 520d,Ahmedabad,2012,59900,18.48,1995.0,177.0,5.0,67.87,18.5,False,False,False,False,True,False
Renault Duster 110PS Diesel RxZ,Delhi,2015,73539,19.01,1461.0,108.45,5.0,15.05,6.75,False,False,True,False,False,False
BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,20.68,1995.0,190.0,5.0,48.18,29.4,False,False,False,False,False,False
Honda City ZX GXi,Kochi,2009,69690,17.7,1497.0,78.0,5.0,13.58,3.29,False,True,True,False,False,False
Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,41000,28.09,1248.0,88.5,5.0,11.11,9.5,False,False,True,False,False,False
Maruti Swift Dzire VXi,Pune,2010,109200,17.5,1298.0,85.8,5.0,7.88,2.2,False,True,True,False,True,False
Mahindra XUV500 W6 2WD,Pune,2012,80000,15.1,2179.0,140.0,7.0,18.865,6.5,False,False,True,False,False,False
Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2007,51000,13.5,1799.0,130.0,5.0,13.58,4.9,False,True,True,False,False,False
Maruti Ertiga ZDI,Pune,2013,105000,25.47,1248.0,88.5,7.0,12.34,6.75,False,False,True,False,True,False
Toyota Etios Liva GD,Chennai,2013,179000,23.59,1364.0,67.04,5.0,8.525,3.8,False,False,True,False,False,False
Audi TT 2.0 TFSI,Delhi,2013,12100,9.9,1984.0,207.8,2.0,53.14,29.5,False,True,False,False,False,False
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,21.13,1498.0,108.4,5.0,15.38,10.5,False,False,True,False,False,False
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,50000,20.14,1498.0,88.8,5.0,10.15,6.2,False,False,True,False,False,False
Skoda Laura 1.9 TDI AT Elegance,Jaipur,2009,48000,17.0,1896.0,105.0,5.0,25.83,5.0,False,False,False,False,False,False
Mahindra Renault Logan 1.5 DLE Diesel,Chennai,2007,35000,19.2,1461.0,65.0,5.0,18.865,2.3,False,False,True,False,False,False
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,11.36,2755.0,171.5,7.0,19.21,17.0,False,False,False,False,False,False
BMW 3 Series 320d Luxury Line,Bangalore,2014,47000,18.88,1995.0,184.0,5.0,54.43,25.5,False,False,False,False,False,False
Honda Jazz 1.5 S i DTEC,Jaipur,2015,63642,27.3,1498.0,98.6,5.0,9.6,5.65,False,False,True,False,False,False
Honda Amaze VX i-DTEC,Kochi,2015,62550,25.8,1498.0,98.6,5.0,8.54,5.6,False,False,True,False,False,False
Jaguar XF 2.2 Litre Luxury,Kochi,2015,37340,16.36,2179.0,187.7,5.0,69.675,29.98,False,False,False,False,False,False
Maruti Swift Dzire VDI,Coimbatore,2016,38461,26.59,1248.0,74.0,5.0,7.88,7.39,False,False,True,False,False,False
Jeep Compass 2.0 Limited,Jaipur,2018,29000,17.1,1956.0,170.0,5.0,22.95,19.0,False,False,True,False,False,False
Toyota Corolla Altis 1.8 Sport,Pune,2010,31000,12.5,1794.0,132.0,5.0,21.085,5.0,False,True,True,False,False,False
Honda City 1.5 V MT,Kolkata,2011,42086,17.0,1497.0,118.0,5.0,13.58,3.35,False,True,True,False,False,False
Maruti Swift ZXI,Chennai,2013,49000,18.6,1197.0,85.8,5.0,7.88,4.45,False,True,True,False,False,False
Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,22.32,1582.0,126.32,5.0,14.255,8.31,False,False,False,False,False,False
Mahindra Bolero ZLX,Jaipur,2012,105000,15.96,2523.0,62.1,7.0,11.15,6.0,False,False,True,False,True,False
Maruti Swift VDI,Chennai,2014,35000,22.9,1248.0,74.0,5.0,7.88,5.25,False,False,True,False,False,False
Hyundai Santro Xing XO,Chennai,2006,83072,17.0,1086.0,98.6,5.0,4.55,1.4,False,True,True,False,False,False
Audi A6 2011-2015 2.0 TDI Premium Plus,Hyderabad,2012,202082,17.68,1968.0,174.33,5.0,67.1,12.3,False,False,False,False,False,False
Ford Ikon 1.3 LXi NXt,Chennai,2004,129000,13.8,1299.0,70.0,5.0,11.685,1.5,False,True,True,False,False,True
Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,20.14,1498.0,88.0,5.0,10.32,8.12,False,False,True,False,False,False
Mahindra Bolero VLX CRDe,Coimbatore,2012,60271,13.6,2523.0,63.0,7.0,11.01,6.12,False,False,True,False,False,False
Honda City i DTEC VX Option,Coimbatore,2017,45366,25.1,1498.0,98.6,5.0,13.58,10.88,False,False,True,False,False,False
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,9500,18.2,1199.0,82.5,5.0,11.3,3.5,False,True,True,False,False,False
Hyundai i20 1.2 Spotz,Kochi,2016,42362,18.6,1197.0,81.83,5.0,10.25,6.15,False,True,True,False,False,False
BMW X1 sDrive 20d Sportline,Chennai,2016,21000,17.05,1995.0,184.0,5.0,48.18,33.0,False,False,False,False,False,False
BMW X1 sDrive 20d Exclusive,Mumbai,2012,15200,15.06,1995.0,177.0,5.0,48.18,13.5,False,False,False,False,False,False
Toyota Fortuner 4x2 AT,Mumbai,2015,43690,12.55,2982.0,168.5,7.0,37.17,17.11,False,False,False,False,False,False
Audi Q7 4.2 TDI Quattro Technology,Kochi,2014,79926,11.33,4134.0,335.2,7.0,101.96,29.77,False,False,False,False,False,False
Maruti Ertiga VDI,Kolkata,2013,53073,20.77,1248.0,88.76,7.0,11.27,5.95,False,False,True,False,False,False
Hyundai i20 1.2 Magna,Bangalore,2015,59000,18.5,1197.0,80.0,5.0,10.25,5.75,False,True,True,False,False,False
Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,47088,10.13,3498.0,364.9,5.0,49.49,19.0,False,True,False,False,True,False
Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,20.45,1461.0,83.8,5.0,15.05,4.75,False,False,True,False,False,False
Mahindra Quanto C2,Hyderabad,2013,80430,17.21,1493.0,100.0,7.0,18.865,3.3,False,False,True,False,True,False
Toyota Fortuner 4x2 AT,Delhi,2013,71932,12.55,2982.0,168.5,7.0,37.17,16.5,False,False,False,False,False,False
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,19000,15.97,2993.0,258.0,7.0,55.07,44.0,False,False,False,False,False,False
Maruti Swift Dzire VDi,Hyderabad,2011,81759,19.3,1248.0,73.9,5.0,7.88,4.39,False,False,True,False,False,False
Maruti Swift LDI Optional,Kochi,2018,52010,25.2,1248.0,74.0,5.0,7.88,6.2,False,False,True,False,False,False
Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,13.53,1984.0,177.01,5.0,67.1,24.22,False,True,False,False,False,False
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mumbai,2008,93000,10.5,2835.0,107.2,6.0,33.21,5.45,False,False,True,False,False,True
Jaguar XF 2.2 Litre Executive,Delhi,2016,10000,16.36,2179.0,187.7,5.0,69.675,44.0,False,False,False,False,False,False
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,11.36,2755.0,171.5,7.0,28.05,24.82,False,False,False,False,False,False
Skoda Octavia Ambition 2.0 TDI AT,Mumbai,2015,50000,19.3,1968.0,141.0,5.0,25.83,11.69,False,False,False,False,False,False
Toyota Corolla Altis VL AT,Bangalore,2018,1331,14.28,1798.0,138.03,5.0,21.085,20.0,False,True,False,False,False,False
Maruti Omni 8 Seater BSII,Pune,2010,60000,19.7,796.0,35.0,8.0,7.88,1.45,False,True,True,False,False,False
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,17.9,2143.0,170.0,5.0,59.77,48.5,False,False,False,False,False,False
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,21.5,1498.0,108.5,5.0,15.86,9.45,False,False,False,False,False,False
Mahindra XUV500 W10 2WD,Ahmedabad,2015,73000,16.0,2179.0,140.0,7.0,18.865,12.5,False,False,True,False,False,False
Nissan Terrano XL 85 PS,Hyderabad,2014,59962,20.45,1461.0,83.8,5.0,16.65,6.9,False,False,True,False,False,False
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,22.32,1582.0,126.32,5.0,14.255,5.8,False,False,True,False,True,False
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,20967,14.69,2993.0,258.0,5.0,67.87,44.56,False,False,False,False,False,False
Mahindra Scorpio S4 Plus,Bangalore,2015,35000,15.4,2179.0,120.0,7.0,18.865,8.5,False,False,True,False,True,False
Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,23.9,1582.0,126.2,5.0,14.255,10.7,False,False,True,False,False,False
Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,94000,12.07,2967.0,241.4,7.0,101.96,12.0,False,False,False,False,True,False
Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,64236,14.7,1150.0,76.0,5.0,11.3,2.44,False,True,True,False,False,False
Mahindra Bolero ZLX BSIII,Kolkata,2000,124000,13.6,2523.0,63.0,7.0,11.01,1.95,False,False,True,False,False,False
Hyundai Xcent 1.2 Kappa S,Mumbai,2014,7400,19.1,1197.0,82.0,5.0,8.23,4.35,False,True,True,False,False,False
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,13.68,2393.0,147.8,8.0,19.43,17.5,False,False,True,False,False,False
Hyundai EON Era Plus,Hyderabad,2015,68764,21.1,814.0,55.2,5.0,10.25,2.9,False,True,True,False,False,False
Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,22.07,1199.0,73.9,5.0,10.15,2.9,False,False,True,False,False,False
Maruti Vitara Brezza ZDi,Pune,2016,21558,24.3,1248.0,88.5,5.0,10.65,8.9,False,False,True,False,False,False
BMW 3 Series 320d Prestige,Mumbai,2013,37500,18.88,1995.0,184.0,5.0,54.43,16.75,False,False,False,False,False,False
Hyundai EON Sportz,Coimbatore,2016,14077,21.1,814.0,55.2,5.0,10.25,3.95,False,True,True,False,False,False
Honda City 1.5 S MT,Mumbai,2009,70000,17.0,1497.0,118.0,5.0,13.58,2.1,False,True,True,False,False,False
Honda Accord 2.4 MT,Kochi,2011,54316,12.8,2354.0,177.6,5.0,13.58,4.29,False,True,True,False,True,False
Mahindra Xylo E8,Hyderabad,2009,90764,14.0,2498.0,112.0,8.0,11.67,3.85,False,False,True,False,False,False
BMW 3 Series 320d,Chennai,2009,137000,13.2,1995.0,170.0,5.0,54.43,9.0,False,False,False,False,True,False
Honda City V MT,Pune,2013,127000,16.8,1497.0,116.3,5.0,13.58,4.5,False,True,True,False,True,False
Mahindra XUV500 W10 2WD,Kochi,2016,51884,16.0,2179.0,140.0,7.0,18.865,12.46,False,False,True,False,False,False
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,67407,21.27,1396.0,88.76,5.0,10.25,4.65,False,False,True,False,False,False
Toyota Fortuner 4x2 Manual,Hyderabad,2014,107825,13.0,2982.0,168.5,7.0,37.17,20.5,False,False,True,False,False,False
Mahindra Bolero DI BSII,Chennai,2006,82453,13.6,2523.0,63.0,8.0,11.01,2.9,False,False,True,False,False,False
Maruti Esteem Vxi - BSIII,Chennai,2007,30441,15.9,1298.0,85.0,5.0,7.88,1.45,False,True,True,False,False,False
Hyundai Santro LS zipPlus,Chennai,2002,70000,0.0,1086.0,98.6,5.0,4.55,0.65,False,True,True,False,False,True
Mini Cooper 5 DOOR D,Mumbai,2016,11000,20.7,1496.0,113.98,5.0,42.12,29.5,False,False,False,False,False,False
Audi Q3 35 TDI Quattro Premium,Hyderabad,2015,61000,15.73,1968.0,174.33,5.0,44.8,25.0,False,False,False,False,False,False
Hyundai i20 Sportz Option,Delhi,2013,48454,17.0,1197.0,80.0,5.0,10.25,3.5,False,True,True,False,True,False
Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,14.1,2179.0,154.0,7.0,16.95,11.25,False,False,True,False,False,False
Honda BR-V i-DTEC VX MT,Kochi,2017,32249,21.9,1498.0,98.6,7.0,15.45,10.79,False,False,True,False,False,False
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,58000,19.33,1968.0,138.03,5.0,10.15,5.9,False,False,True,False,False,False
Hyundai Xcent 1.2 Kappa S Option,Jaipur,2017,28360,19.1,1197.0,81.86,5.0,8.23,5.12,False,True,True,False,False,False
Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,20.89,1197.0,81.8,5.0,7.87,5.7,False,True,True,False,False,False
BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,19658,18.12,1995.0,190.0,5.0,67.87,35.84,False,False,False,False,False,False
Ford Ikon 1.3 CLXi,Hyderabad,2007,92000,13.8,1299.0,70.0,5.0,11.685,1.25,False,True,True,False,False,False
Hyundai i10 Sportz,Kolkata,2013,25000,20.36,1197.0,78.9,5.0,10.25,2.65,False,True,True,False,False,False
Hyundai Verna 1.6 CRDI,Coimbatore,2016,37882,22.32,1582.0,126.3,5.0,14.255,9.19,False,False,True,False,False,False
BMW 3 Series 320d Highline,Bangalore,2014,69330,16.07,1995.0,181.0,5.0,54.43,23.5,False,False,False,False,False,False
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Delhi,2011,61000,12.3,1796.0,185.0,5.0,86.97,12.5,False,True,False,False,False,False
Chevrolet Beat Option Pack,Kolkata,2010,35000,18.6,1199.0,79.4,5.0,11.3,1.5,False,True,True,False,True,False
Hyundai Santro Xing XP,Jaipur,2004,200000,0.0,1086.0,98.6,5.0,4.55,0.8,False,True,True,False,False,False
Tata Indica DLS,Jaipur,2009,82000,13.5,1405.0,98.6,5.0,7.63,0.75,False,False,True,False,True,False
Mahindra XUV500 W8 2WD,Delhi,2012,72450,15.1,2179.0,140.0,7.0,18.865,8.1,False,False,True,False,False,False
Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,36381,28.09,1248.0,88.5,5.0,11.11,9.75,False,False,True,False,False,False
Mercedes-Benz New C-Class C 250 CDI Avantgarde,Coimbatore,2017,25559,19.71,2143.0,201.15,5.0,49.49,37.93,False,False,False,False,False,False
Honda City ZX CVT,Chennai,2005,100000,16.4,1497.0,78.0,5.0,13.58,1.96,False,True,False,False,False,True
Toyota Fortuner 4x2 4 Speed AT,Jaipur,2015,94000,11.5,2982.0,169.0,7.0,37.17,20.5,False,False,False,False,False,False
Maruti Alto K10 VXI,Bangalore,2011,64357,24.07,998.0,67.1,5.0,4.7,2.75,False,True,True,False,False,False
Jaguar XJ 2.0L Portfolio,Mumbai,2017,10501,9.43,1999.0,237.4,5.0,69.675,75.0,False,True,False,False,False,False
Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,21.9,1396.0,90.0,5.0,10.25,2.8,False,False,True,False,False,False
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,16.0,1497.0,117.3,7.0,15.02,9.25,False,True,False,False,False,False
Toyota Corolla Executive (HE),Chennai,2007,89000,13.4,1794.0,125.0,5.0,21.085,3.0,False,True,True,False,False,False
Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,49964,17.68,1968.0,174.33,5.0,67.1,23.89,False,False,False,False,False,False
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,12.99,2494.0,100.6,7.0,24.01,12.75,False,False,True,False,False,False
